aX,aY,aZ,gX,gY,gZ
-0.707,0.348,1.845,-43.400,215.740,-21.630
-0.763,0.463,2.045,-85.610,180.180,-15.680
-0.832,0.569,2.172,-110.740,153.650,-2.170
-0.905,0.629,2.306,-112.840,129.010,3.850
-1.015,0.646,2.473,-104.440,96.950,2.730
-1.076,0.630,2.640,-93.730,40.460,-1.330
-1.047,0.622,2.810,-80.710,0.350,-6.720
-0.930,0.624,2.914,-51.940,-55.440,-15.470
-0.788,0.637,2.921,-16.380,-101.290,-14.980
-0.629,0.648,2.848,3.220,-146.720,-7.350
-0.517,0.630,2.705,-3.780,-186.340,3.360
-0.466,0.577,2.508,-12.740,-219.030,16.240
-0.470,0.503,2.212,-19.530,-258.090,26.740
-0.519,0.416,2.020,-26.460,-282.030,32.410
-0.562,0.333,1.846,-35.140,-307.160,29.260
-0.590,0.255,1.674,-42.490,-333.200,25.200
-0.618,0.173,1.517,-60.060,-351.890,20.160
-0.653,0.128,1.388,-77.490,-364.770,19.950
-0.623,0.040,1.246,-81.830,-379.750,9.940
-0.590,0.021,1.073,-96.390,-384.860,13.370
-0.572,0.003,0.969,-108.710,-386.050,7.630
-0.560,-0.032,0.873,-106.050,-384.790,3.290
-0.518,-0.063,0.773,-101.990,-380.030,5.250
-0.510,-0.063,0.674,-95.550,-372.190,-6.370
-0.512,-0.072,0.539,-80.360,-368.480,-19.880
-0.529,-0.081,0.453,-57.750,-363.230,-65.870
-0.511,-0.101,0.352,-32.340,-387.450,-63.280
-0.526,-0.086,0.279,-36.680,-403.690,-66.850
-0.517,-0.094,0.184,-46.760,-403.200,-74.550
-0.502,-0.079,0.062,-65.310,-390.250,-86.800
-0.517,-0.074,-0.035,-93.100,-383.740,-103.530
-0.522,-0.067,-0.142,-111.300,-378.910,-116.340
-0.520,-0.055,-0.282,-107.170,-370.160,-129.710
